Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Bergen - Florida;SN50540;29.10.2016;8,9
Bjørnholt;SN18500;30.10.2016;7
Oslo - Blindern;SN18700;30.10.2016;9,3
Oslo - Hovin;SN18210;30.10.2016;10,5
Trondheim - Voll;SN68860;30.10.2016;7,6
Stavanger - Våland;SN44640;30.10.2016;9,3
Bergen - Florida;SN50540;30.10.2016;9,3
Bjørnholt;SN18500;31.10.2016;5,9
Oslo - Blindern;SN18700;31.10.2016;8
Oslo - Hovin;SN18210;31.10.2016;8,1
Trondheim - Voll;SN68860;31.10.2016;6,4
Stavanger - Våland;SN44640;31.10.2016;10,5
Bergen - Florida;SN50540;31.10.2016;10,3
Bjørnholt;SN18500;01.11.2016;3,8
Oslo - Blindern;SN18700;01.11.2016;6,3
Oslo - Hovin;SN18210;01.11.2016;6,7
Tryvannshøgda;SN18950;01.11.2016;3,2
Trondheim - Voll;SN68860;01.11.2016;6,4
Stavanger - Våland;SN44640;01.11.2016;10,5
Bergen - Florida;SN50540;01.11.2016;9,5
Bjørnholt;SN18500;02.11.2016;1,9
Oslo - Blindern;SN18700;02.11.2016;4,8
Oslo - Hovin;SN18210;02.11.2016;5,6
Tryvannshøgda;SN18950;02.11.2016;0,5
Trondheim - Voll;SN68860;02.11.2016;1,6
Stavanger - Våland;SN44640;02.11.2016;8,7
Bergen - Florida;SN50540;02.11.2016;6,6
Bjørnholt;SN18500;03.11.2016;0,8
Oslo - Blindern;SN18700;03.11.2016;2,8
Oslo - Hovin;SN18210;03.11.2016;4,5
Tryvannshøgda;SN18950;03.11.2016;-0,2
Trondheim - Voll;SN68860;03.11.2016;-0,3
Stavanger - Våland;SN44640;03.11.2016;7,7
Bergen - Florida;SN50540;03.11.2016;7,2
Bjørnholt;SN18500;04.11.2016;-1,7
Oslo - Blindern;SN18700;04.11.2016;0,4
Oslo - Hovin;SN18210;04.11.2016;1,1
Tryvannshøgda;SN18950;04.11.2016;-2,9
Trondheim - Voll;SN68860;04.11.2016;-0,2
Stavanger - Våland;SN44640;04.11.2016;6,4
Bergen - Florida;SN50540;04.11.2016;6,2
Bjørnholt;SN18500;05.11.2016;-1,6
Oslo - Blindern;SN18700;05.11.2016;1,3
Oslo - Hovin;SN18210;05.11.2016;2,4
Tryvannshøgda;SN18950;05.11.2016;-2,3
Trondheim - Voll;SN68860;05.11.2016;0,8
Stavanger - Våland;SN44640;05.11.2016;6,9
Bergen - Florida;SN50540;05.11.2016;5,4
Bjørnholt;SN18500;06.11.2016;-2,6
Oslo - Blindern;SN18700;06.11.2016;0,2
Oslo - Hovin;SN18210;06.11.2016;1,3
Tryvannshøgda;SN18950;06.11.2016;-3
Trondheim - Voll;SN68860;06.11.2016;-1,4
Stavanger - Våland;SN44640;06.11.2016;5,4
Bergen - Florida;SN50540;06.11.2016;4,7
Bjørnholt;SN18500;07.11.2016;-5,6
Oslo - Blindern;SN18700;07.11.2016;-2,9
Oslo - Hovin;SN18210;07.11.2016;0
Tryvannshøgda;SN18950;07.11.2016;-5,5
Trondheim - Voll;SN68860;07.11.2016;-5,6
Stavanger - Våland;SN44640;07.11.2016;1,6
Bergen - Florida;SN50540;07.11.2016;1,7
Bjørnholt;SN18500;08.11.2016;-5,8
